timestamp,tag,seed,total_steps,mean_reward,std_reward,elapsed_min
2026-05-07 02:27:49,smoke,42,10000,5.326,0.794,0.4
2026-05-07 02:36:37,iter1_s200,200,200000,5.277,0.777,5.1
2026-05-07 02:42:34,iter2_s201,201,200000,6.050,1.086,4.6
2026-05-07 02:48:28,iter3_s202,202,200000,5.798,0.875,4.6
2026-05-07 02:54:14,iter4_s203,203,200000,5.660,1.208,4.6
2026-05-07 03:00:00,iter5_s204,204,200000,5.986,1.042,4.6
2026-05-07 03:05:45,iter6_s205,205,200000,5.576,0.895,4.6
2026-05-07 03:11:30,iter7_s206,206,200000,5.799,0.942,4.6
2026-05-07 03:17:27,iter8_s207,207,200000,6.126,1.148,4.8
2026-05-07 03:23:16,iter9_s208,208,200000,3.334,11.641,4.6
2026-05-07 03:29:02,iter10_s209,209,200000,5.635,1.338,4.6
2026-05-07 03:34:42,iter11_s210,210,200000,5.862,0.866,4.5
2026-05-07 03:40:21,iter12_s211,211,200000,6.122,1.282,4.5
2026-05-07 03:46:03,iter13_s212,212,200000,5.724,1.121,4.5
2026-05-07 03:51:40,iter14_s213,213,200000,5.993,1.002,4.5
2026-05-07 03:57:27,iter15_s214,214,200000,5.643,1.134,4.6
2026-05-07 04:03:10,iter16_s215,215,200000,6.061,1.077,4.6
2026-05-07 04:08:51,iter17_s216,216,200000,5.599,1.224,4.5
2026-05-07 04:14:33,iter18_s217,217,200000,5.590,1.684,4.5
2026-05-07 04:20:20,iter19_s218,218,200000,6.014,1.092,4.6
2026-05-07 04:26:07,iter20_s219,219,200000,5.883,0.968,4.6
2026-05-07 04:31:51,iter21_s220,220,200000,5.533,1.001,4.6
2026-05-07 04:37:39,iter22_s221,221,200000,5.890,1.058,4.7
2026-05-07 04:43:25,iter23_s222,222,200000,6.010,1.222,4.6
2026-05-07 04:49:12,iter24_s223,223,200000,5.649,1.204,4.6
2026-05-07 07:43:31,v3_smoke,42,50000,5.615,2.793,1.5
2026-05-07 07:58:14,v3_iter1_s2000,2000,500000,5.689,1.355,12.6
2026-05-07 08:15:32,v3_iter2_s2001,2001,500000,6.050,1.531,14.7
2026-05-07 08:34:18,v3_iter3_s2002,2002,500000,5.517,1.407,13.5
2026-05-07 08:49:46,v3_iter4_s2003,2003,500000,5.962,1.342,13.6
